epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,530.428,1.10446,1.65556,1.16115,1.14998,0.53592,0.3976,0.41644,0.26666,0.55432,0.41866,0.4286,0.26004,1.4661,2.27651,1.98686,1.47273,0.000304021,0.000304021,0.000304021
31,548.211,1.06324,1.56918,1.16462,1.13849,0.50146,0.41902,0.40338,0.2575,0.5072,0.42023,0.40632,0.24963,1.46077,2.32021,1.94223,1.49741,0.000289884,0.000289884,0.000289884
32,565.69,1.04984,1.56925,1.14045,1.12974,0.4864,0.42252,0.41651,0.25347,0.48178,0.42025,0.41216,0.24387,1.49341,2.30234,1.89887,1.52065,0.000275747,0.000275747,0.000275747
33,583.217,1.04476,1.55397,1.11187,1.1196,0.49522,0.41224,0.42388,0.26152,0.52828,0.40476,0.41819,0.24848,1.49629,2.45652,1.97815,1.50901,0.00026161,0.00026161,0.00026161
34,600.681,1.04097,1.56371,1.10611,1.12714,0.5084,0.41299,0.41174,0.26243,0.50027,0.40916,0.40624,0.25161,1.46421,2.23978,1.9765,1.45936,0.000247472,0.000247472,0.000247472
35,617.927,1.01851,1.53393,1.06363,1.11317,0.54525,0.39231,0.4075,0.25976,0.57685,0.37432,0.4033,0.24407,1.45753,2.26768,1.99547,1.46664,0.000233335,0.000233335,0.000233335
36,635.452,0.99438,1.48389,1.03826,1.0987,0.49815,0.44535,0.41574,0.26441,0.49823,0.44857,0.41193,0.25309,1.5066,2.3331,2.05329,1.54189,0.000219198,0.000219198,0.000219198
37,652.863,1.02114,1.52457,1.03217,1.10587,0.44728,0.43972,0.41006,0.25628,0.43311,0.42792,0.39835,0.24357,1.50172,2.29156,2.02694,1.51983,0.000205061,0.000205061,0.000205061
38,670.103,1.00078,1.49132,1.00214,1.0896,0.5481,0.42296,0.42779,0.26552,0.54486,0.41814,0.42015,0.24871,1.51489,2.40158,2.04199,1.5331,0.000190924,0.000190924,0.000190924
39,687.585,0.97315,1.44518,0.97444,1.08254,0.52517,0.40862,0.41197,0.26078,0.51415,0.41561,0.40921,0.2429,1.48767,2.28615,2.02404,1.51717,0.000176786,0.000176786,0.000176786
40,704.84,0.97812,1.42822,0.95673,1.09234,0.53303,0.39424,0.4214,0.26262,0.57327,0.37587,0.41424,0.2521,1.50939,2.46502,1.97667,1.52233,0.000162649,0.000162649,0.000162649
41,723.145,0.98352,1.45271,0.90604,1.0997,0.50543,0.42371,0.42847,0.26943,0.5212,0.4237,0.43048,0.25845,1.50612,2.48195,1.98401,1.52413,0.000148512,0.000148512,0.000148512
42,740.338,0.95013,1.38236,0.85149,1.08497,0.56065,0.40011,0.42093,0.26359,0.55647,0.39791,0.41611,0.25169,1.50527,2.34892,2.01102,1.53142,0.000134375,0.000134375,0.000134375
43,757.204,0.93174,1.35738,0.82188,1.07079,0.49272,0.43251,0.42166,0.26535,0.50095,0.42713,0.41645,0.25553,1.55998,2.46964,2.04878,1.59261,0.000120238,0.000120238,0.000120238
44,774.077,0.9102,1.32593,0.76967,1.06178,0.51769,0.44408,0.43062,0.27424,0.50504,0.43281,0.42287,0.26172,1.51522,2.38266,2.07539,1.56356,0.0001061,0.0001061,0.0001061
45,792.197,0.9015,1.34953,0.7544,1.05748,0.61071,0.40027,0.42671,0.2739,0.60115,0.39475,0.41627,0.26262,1.51213,2.40223,2.10919,1.54382,9.19632e-05,9.19632e-05,9.19632e-05
46,809.181,0.88878,1.30101,0.71596,1.03917,0.53886,0.40209,0.40546,0.26243,0.55019,0.40086,0.40036,0.24698,1.51472,2.38676,2.15285,1.5362,7.7826e-05,7.7826e-05,7.7826e-05
47,826.075,0.86846,1.27857,0.71401,1.03446,0.52596,0.4052,0.41879,0.26355,0.51805,0.40013,0.40797,0.24826,1.51097,2.40377,2.09626,1.54912,6.36888e-05,6.36888e-05,6.36888e-05
48,842.857,0.86829,1.27921,0.69152,1.02579,0.53764,0.4135,0.42682,0.26911,0.53004,0.41183,0.41887,0.25441,1.47602,2.40983,2.14325,1.5134,4.95516e-05,4.95516e-05,4.95516e-05
49,859.718,0.85464,1.26171,0.67612,1.02399,0.68307,0.39652,0.42796,0.26885,0.67637,0.392,0.42227,0.25756,1.50401,2.43629,2.13582,1.55144,3.54144e-05,3.54144e-05,3.54144e-05
50,876.538,0.84327,1.23076,0.65701,1.02503,0.52725,0.40738,0.42613,0.26884,0.54546,0.40095,0.42026,0.25331,1.50141,2.40312,2.131,1.55142,2.12772e-05,2.12772e-05,2.12772e-05
