epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,600.907,0.98951,1.44849,0.99004,1.10125,0.64709,0.49121,0.55005,0.36449,0.68875,0.45454,0.53683,0.34266,1.40137,2.23897,1.46622,1.48183,0.000354691,0.000354691,0.000354691
31,620.709,0.95546,1.42854,0.94117,1.09828,0.61752,0.62193,0.6174,0.40444,0.59148,0.59558,0.58676,0.37031,1.37124,2.13446,1.37663,1.46361,0.000338198,0.000338198,0.000338198
32,640.805,0.97191,1.43994,0.96514,1.10424,0.60615,0.54415,0.57961,0.3779,0.59633,0.5369,0.5582,0.34681,1.37838,2.17312,1.42353,1.43654,0.000321705,0.000321705,0.000321705
33,660.672,0.9589,1.39099,0.92375,1.08335,0.63187,0.58512,0.61316,0.40083,0.62967,0.57433,0.59647,0.37899,1.41032,2.10844,1.36348,1.49488,0.000305211,0.000305211,0.000305211
34,680.966,0.94706,1.36303,0.92454,1.08059,0.6798,0.55022,0.60042,0.3913,0.67126,0.54573,0.57952,0.36617,1.3925,2.18894,1.37175,1.4645,0.000288718,0.000288718,0.000288718
35,701.187,0.90302,1.36699,0.88455,1.05919,0.70717,0.58869,0.63794,0.42084,0.70322,0.58405,0.62839,0.39103,1.40546,2.13238,1.32761,1.49946,0.000272224,0.000272224,0.000272224
36,721.088,0.87987,1.28169,0.83337,1.05042,0.6249,0.56926,0.60058,0.40959,0.62339,0.57032,0.59161,0.38258,1.36219,2.07411,1.3448,1.47014,0.000255731,0.000255731,0.000255731
37,740.79,0.91277,1.35007,0.85602,1.06325,0.63717,0.59499,0.63948,0.42387,0.72721,0.51841,0.62577,0.39157,1.36924,2.19002,1.3034,1.50446,0.000239238,0.000239238,0.000239238
38,760.742,0.86789,1.29498,0.81772,1.04955,0.6817,0.57843,0.63719,0.42438,0.67257,0.5627,0.61518,0.38291,1.34939,2.2044,1.28918,1.46204,0.000222744,0.000222744,0.000222744
39,780.44,0.84844,1.26835,0.7994,1.04145,0.68318,0.58235,0.64272,0.43877,0.67517,0.575,0.63083,0.41117,1.33972,2.18825,1.3106,1.44854,0.000206251,0.000206251,0.000206251
