epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,594.193,1.09849,1.60914,1.12784,1.16096,0.61958,0.51962,0.572,0.37788,0.61649,0.51669,0.55943,0.35309,1.34592,1.9776,1.40346,1.4371,0.000354691,0.000354691,0.000354691
31,614.023,1.05372,1.61252,1.08721,1.163,0.61383,0.5617,0.58042,0.38608,0.63903,0.5025,0.55357,0.34909,1.34392,2.01966,1.42193,1.42402,0.000338198,0.000338198,0.000338198
32,634.037,1.07678,1.61299,1.10625,1.17098,0.57542,0.59128,0.58817,0.38207,0.58219,0.5656,0.56631,0.3454,1.37098,2.02077,1.34306,1.4439,0.000321705,0.000321705,0.000321705
33,653.866,1.0583,1.56149,1.058,1.14995,0.61936,0.49846,0.56032,0.37473,0.62461,0.49366,0.54971,0.33753,1.34361,1.98358,1.3544,1.41884,0.000305211,0.000305211,0.000305211
34,673.641,1.04615,1.53582,1.05838,1.14696,0.64297,0.57128,0.60887,0.40395,0.64006,0.56768,0.6011,0.36443,1.32596,1.97986,1.34819,1.39651,0.000288718,0.000288718,0.000288718
35,693.618,1.016,1.53479,1.02537,1.13364,0.67377,0.54396,0.60926,0.40185,0.66812,0.53963,0.59782,0.37415,1.32577,1.94425,1.36838,1.40878,0.000272224,0.000272224,0.000272224
36,713.543,1.00049,1.458,0.97527,1.11854,0.6507,0.56282,0.58528,0.38849,0.64523,0.55836,0.5721,0.36505,1.34882,1.94855,1.34347,1.43987,0.000255731,0.000255731,0.000255731
37,733.14,1.02068,1.52963,1.01121,1.13285,0.5449,0.6414,0.60521,0.40787,0.54086,0.62755,0.59144,0.36955,1.3284,2.01352,1.34107,1.40457,0.000239238,0.000239238,0.000239238
38,753.042,0.97673,1.4623,0.95477,1.1135,0.64795,0.54482,0.60477,0.40146,0.63986,0.53804,0.5918,0.37379,1.35441,2.00129,1.36467,1.42497,0.000222744,0.000222744,0.000222744
39,772.828,0.95766,1.44384,0.9476,1.1052,0.62809,0.56436,0.60462,0.40356,0.64784,0.53148,0.5853,0.37164,1.36751,1.99189,1.37356,1.44278,0.000206251,0.000206251,0.000206251
