epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,350.925,1.86493,2.69031,2.65718,1.98061,0.57049,0.21486,0.18559,0.08947,0.57023,0.21287,0.18817,0.08482,2.02505,2.85424,2.79125,2.08855,0.000304021,0.000304021,0.000304021
31,362.877,1.87264,2.71467,2.66802,1.97234,0.64308,0.1962,0.18988,0.09012,0.67221,0.18964,0.19237,0.08856,1.97627,2.81941,2.64803,2.06427,0.000289884,0.000289884,0.000289884
32,373.973,1.81343,2.68702,2.59365,1.93904,0.60607,0.20125,0.2037,0.09925,0.60992,0.20363,0.20494,0.09774,1.9874,2.77609,2.63858,2.0761,0.000275747,0.000275747,0.000275747
33,385.037,1.82131,2.69592,2.61136,1.93537,0.68078,0.18995,0.20857,0.10169,0.631,0.21404,0.20841,0.09454,1.99491,2.83689,2.62177,2.0795,0.00026161,0.00026161,0.00026161
34,396.972,1.80947,2.6395,2.58315,1.91313,0.44726,0.22109,0.20646,0.10223,0.56989,0.21386,0.20637,0.0979,1.97509,2.82421,2.61157,2.05019,0.000247472,0.000247472,0.000247472
35,408.068,1.79521,2.66066,2.54445,1.9075,0.68502,0.20102,0.19387,0.09948,0.68011,0.2002,0.19334,0.09759,1.97896,2.74653,2.53764,2.05772,0.000233335,0.000233335,0.000233335
36,419.097,1.8105,2.64507,2.54896,1.89109,0.54915,0.21064,0.19783,0.09556,0.56214,0.21427,0.20221,0.09128,1.96395,2.7944,2.58491,2.04809,0.000219198,0.000219198,0.000219198
37,431.043,1.78582,2.64667,2.5251,1.868,0.60669,0.18372,0.20706,0.10358,0.60709,0.18663,0.20809,0.09678,1.96727,2.79606,2.58513,2.039,0.000205061,0.000205061,0.000205061
38,442.225,1.79834,2.59072,2.52022,1.88747,0.56999,0.21276,0.21256,0.10333,0.59838,0.20871,0.21059,0.0965,1.95211,2.82898,2.57018,2.05426,0.000190924,0.000190924,0.000190924
39,453.398,1.78022,2.66459,2.48296,1.85684,0.59886,0.20306,0.21451,0.10579,0.61724,0.20552,0.22243,0.10496,1.95619,2.73959,2.48404,2.02665,0.000176786,0.000176786,0.000176786
40,465.294,1.77062,2.61871,2.46049,1.86931,0.60702,0.19952,0.2191,0.11449,0.59498,0.22919,0.21941,0.1057,1.90242,2.75882,2.50198,1.9912,0.000162649,0.000162649,0.000162649
41,478.244,1.74487,2.64917,2.50413,1.9158,0.55298,0.22295,0.22,0.11523,0.55086,0.2223,0.21687,0.10807,1.92291,2.73035,2.49479,1.9913,0.000148512,0.000148512,0.000148512
42,489.342,1.74246,2.62549,2.42203,1.88375,0.6446,0.19908,0.22461,0.11724,0.66127,0.20335,0.22932,0.11027,1.90575,2.72517,2.46387,1.98017,0.000134375,0.000134375,0.000134375
43,500.558,1.72137,2.59759,2.39849,1.87404,0.58523,0.24146,0.22852,0.11858,0.6509,0.21073,0.22819,0.11081,1.88902,2.71681,2.46603,1.9789,0.000120238,0.000120238,0.000120238
44,511.638,1.69893,2.57248,2.36235,1.86234,0.63527,0.22985,0.23558,0.11844,0.6354,0.22386,0.23033,0.11126,1.89671,2.74104,2.48429,1.97409,0.0001061,0.0001061,0.0001061
45,522.685,1.70978,2.57934,2.34388,1.8498,0.58213,0.22181,0.22546,0.11782,0.60184,0.21963,0.23293,0.11473,1.90171,2.71917,2.47461,1.98269,9.19632e-05,9.19632e-05,9.19632e-05
46,534.175,1.69284,2.53066,2.33035,1.84394,0.61937,0.22854,0.23289,0.12386,0.64756,0.22816,0.23508,0.11504,1.89246,2.72971,2.43601,1.97189,7.7826e-05,7.7826e-05,7.7826e-05
47,545.252,1.70182,2.54801,2.32579,1.8462,0.6102,0.21944,0.23639,0.12594,0.62426,0.22393,0.23789,0.1187,1.86986,2.68537,2.43685,1.94613,6.36888e-05,6.36888e-05,6.36888e-05
48,556.273,1.6705,2.53782,2.32507,1.82832,0.64086,0.22799,0.2388,0.1323,0.66287,0.22708,0.24084,0.12295,1.86713,2.69155,2.42212,1.94413,4.95516e-05,4.95516e-05,4.95516e-05
49,567.538,1.66864,2.536,2.31052,1.82681,0.6367,0.2247,0.23894,0.12958,0.65299,0.22504,0.24012,0.12074,1.87849,2.71839,2.42947,1.95565,3.54144e-05,3.54144e-05,3.54144e-05
50,579.196,1.66944,2.52223,2.28245,1.82736,0.62815,0.23304,0.23949,0.12924,0.6468,0.23397,0.23846,0.12073,1.86966,2.70853,2.42669,1.94979,2.12772e-05,2.12772e-05,2.12772e-05
