epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,651.505,1.08543,1.71287,1.2386,1.1602,0.56496,0.39701,0.40632,0.25218,0.43229,0.41309,0.38913,0.21696,1.49095,2.53408,2.03249,1.45788,0.000304021,0.000304021,0.000304021
31,672.578,1.06755,1.63315,1.21563,1.14146,0.48052,0.39321,0.41697,0.25843,0.46428,0.38106,0.39191,0.22178,1.46209,2.50525,1.95044,1.46559,0.000289884,0.000289884,0.000289884
32,693.981,1.05739,1.63896,1.17992,1.13819,0.57739,0.39032,0.40925,0.24665,0.55438,0.37829,0.38473,0.21512,1.50056,2.55998,2.01165,1.49774,0.000275747,0.000275747,0.000275747
33,715.241,1.04889,1.6316,1.15769,1.13689,0.6115,0.38344,0.40772,0.25019,0.58464,0.36498,0.38553,0.21388,1.48652,2.49451,1.9478,1.47702,0.00026161,0.00026161,0.00026161
34,736.506,1.03202,1.56392,1.11999,1.12162,0.63466,0.36004,0.41291,0.25944,0.62257,0.34681,0.38698,0.22513,1.43657,2.46842,1.98683,1.45105,0.000247472,0.000247472,0.000247472
35,757.623,0.9958,1.54231,1.11271,1.11052,0.40039,0.44466,0.42341,0.26646,0.39907,0.42666,0.40299,0.22979,1.46071,2.49529,1.93106,1.44899,0.000233335,0.000233335,0.000233335
36,778.872,0.9988,1.57146,1.07421,1.11326,0.4815,0.3934,0.41499,0.25866,0.47834,0.39402,0.40583,0.23416,1.5016,2.62367,2.01744,1.50797,0.000219198,0.000219198,0.000219198
37,799.706,1.00989,1.54352,1.05744,1.10414,0.42831,0.4518,0.42572,0.26819,0.42046,0.44109,0.40685,0.23447,1.42711,2.45673,1.9285,1.42964,0.000205061,0.000205061,0.000205061
38,821.677,0.986,1.48989,1.02546,1.09782,0.4191,0.46822,0.43197,0.27798,0.41562,0.46391,0.41602,0.24621,1.45724,2.60669,1.93437,1.46621,0.000190924,0.000190924,0.000190924
39,843.207,0.98574,1.50092,1.01307,1.08948,0.49437,0.40976,0.41779,0.26816,0.49267,0.40634,0.40399,0.2332,1.46436,2.66465,2.01371,1.46964,0.000176786,0.000176786,0.000176786
40,864.355,0.96182,1.48553,0.99409,1.0868,0.4736,0.40098,0.42718,0.27039,0.48078,0.37346,0.39862,0.22943,1.45073,2.61321,1.99263,1.46286,0.000162649,0.000162649,0.000162649
41,885.977,0.97149,1.47246,0.92037,1.10435,0.47593,0.41588,0.42935,0.26569,0.47297,0.41095,0.41384,0.24122,1.50078,2.62309,1.91543,1.52311,0.000148512,0.000148512,0.000148512
42,906.74,0.96154,1.45256,0.87993,1.09789,0.525,0.42515,0.45077,0.2879,0.51645,0.4178,0.43591,0.26295,1.45219,2.6163,1.9237,1.44315,0.000134375,0.000134375,0.000134375
43,928.086,0.93615,1.42143,0.85406,1.07897,0.52418,0.41477,0.4308,0.2733,0.51013,0.40545,0.41091,0.24007,1.46316,2.63164,1.97838,1.48031,0.000120238,0.000120238,0.000120238
44,949.032,0.91495,1.40674,0.81836,1.06565,0.47597,0.44629,0.43509,0.27941,0.46543,0.43682,0.41599,0.24926,1.47993,2.69717,2.00301,1.49685,0.0001061,0.0001061,0.0001061
45,970.112,0.91663,1.36696,0.78063,1.06812,0.46465,0.43972,0.43991,0.28554,0.45394,0.43096,0.42457,0.24665,1.47859,2.61065,1.95545,1.47731,9.19632e-05,9.19632e-05,9.19632e-05
46,991.011,0.88507,1.35909,0.76357,1.04627,0.48694,0.44987,0.4521,0.29803,0.49714,0.43407,0.43134,0.26181,1.45953,2.63139,1.97162,1.49178,7.7826e-05,7.7826e-05,7.7826e-05
47,1012.91,0.89155,1.35768,0.752,1.04479,0.55197,0.4657,0.45841,0.29342,0.54362,0.45758,0.43593,0.25586,1.45041,2.65871,1.94726,1.47533,6.36888e-05,6.36888e-05,6.36888e-05
48,1033.44,0.86759,1.33007,0.72921,1.03442,0.55353,0.39642,0.44222,0.28369,0.54562,0.39085,0.42381,0.24788,1.46542,2.61849,2.01798,1.50013,4.95516e-05,4.95516e-05,4.95516e-05
49,1054.17,0.85738,1.32308,0.70602,1.03846,0.42754,0.48114,0.44593,0.28503,0.41944,0.47053,0.42308,0.24527,1.47743,2.66852,1.9795,1.506,3.54144e-05,3.54144e-05,3.54144e-05
50,1074.9,0.85266,1.29617,0.70553,1.03518,0.48355,0.44369,0.44376,0.28541,0.47309,0.43665,0.42265,0.24934,1.4691,2.67096,1.96145,1.50222,2.12772e-05,2.12772e-05,2.12772e-05
